id;text;formality_2_categories;formality_3_categories
14;Panie Piotrze, dzisiaj umowa jest już widoczna w systemie. Czy jeszcze możemy w czymś pomóc? JK;0;0
15;Dzień dobry, zbieram wszystkie formularze być może jutro wyślę, będę miała ich aż sześć. Pozdrawiam, AB;0;0
16;"Wydaje mi się że zmieniłem adres zgodnie z pana sugestią - w tej chwili adres kończy się słowem ""conference"". Rozumiem że takiego linka mogę już rozesłać do uczestników i jeśli tylko nikt inny nie użyje takiej samej nazwy link się już nie zmieni?";0;0
17;Panie Grzegorzu, Panie Janie,czy sprawa będzie miała kontynuację w najbliższym czasie? AB;1;1
18;Faktycznie tak jest i opcja zmiany hasła jest dostępna. Tylko przesłana instrukcja sugeruje wprost zalogowanie się na portal.;0;1
19;W ubieglym tygodniu raz zadzialało. Teraz znowu to samo. Załączam zrzut ekranu kiedy sie wysypuje. JK;0;0
20;Dzień dobry. Ta funkcja została przeniesiona do programu alfa. Proszę uruchomić ten program i w nim zatwierdzić publikacje.;1;1
21;Dzień dobry, bardzo, bardzo, bardzo dziękuję. Wszystko jest już w jak najlepszym porządku.Pozdrawiam, Ania.;0;1
22;W którym momencie pojawia się ten komunikat: podczas uruchamiania programu, czy podczas uruchamiania terminala?Czy próbował Pan usunąć katalog, aby wszystkie pliki pobrały się na nowo?;1;2
23;Dzień dobry Panie Piotrze, dopiero wróciłam z delegacji, proszę o telefon dzisiaj po godz. 12, najpierw omówmy przez telefon sprawę. Podaję nr telefonu: XXX XXX XXX. Pozdrawiam serdecznie;1;2
24;Ja też czasem tego doświadczam. Nauczyłam się sobie z tym radzić. Klikam cofnij do poprzedniej strony w przeglądarce, kopiuje tekst (który się zachowuje) i potem wklejam jeszcze raz.;0;0
25;Proszę o ponowne sprawdzenie, nie udało mi się powtórzyć błędu, w między czasie wgrywana była nowa wersja. Pozdrowienia, AB.;1;1
26;Portal nadal działa, co Pani rozumie przez 'stara wersja jest już u mnie nieaktywna'? Z wyrazami szacunku, JK.;1;1
27;Teraz godziny przeliczają się prawidłowo. Dziękuję za pomoc. Miejmy nadzieję, że problem już nie wystąpi.;1;2
28;Jeśli są błędy we wprowadzonych danych to proszę o kontakt w tej sprawie z operatorem Pani działu - celem ich korekty...;0;1
29;Panowie czy będziecie jeszcze coś robić w tym temacie czy można go  nareszcie zamknąć? Ile można to ciągnąć?;0;0
30;Sprawa się jeszcze wyjaśnia. Okazało się, że problemem w przedłużeniu ważności konta jest inna umowa zlecenie, a nie umowa o pracę. Pozdrawiam, AB.;0;1
31;Bardzo dziękuję za pomoc. Po raz pierwszy miałam taki problem. W takim razie, to była chyba wina mojej przeglądarki Google Chrome. Firefox odchodzi w zapomnienie. Pozdrawiam, EG;0;1
32;Przemku, bez Twojej pomocy nie ruszymy dalej. Stoimy w miejscu. Pozdrawiam AB.;0;1
33;Niestety z powodu dużej ilości pracy musimy wszystkie prace mieć zatwierdzone przez przełożonego. Dał mi znać że jutro propozycja zostanie zgłoszona na spotkaniu zespołu DevOps. Jak to zatwierdzą to zaimplementujemy taką możliwość. Z poważaniem, AB.;1;2
34;Witam, Bardzo przepraszam, że nie zamknąłem tematu, problem został rozwiązany. Bardzo dziękuję za pomoc, Pozdrawiam ZZ;0;0
35;Dzień dobry, bardzo dziękuję. Fakturę przekazałam do realizacji. Z poważaniem, AB - główna księgowa.;1;2
36;Rozumiem, że hasło zostało przekazane na maila Pani Dyrektor!? Z poważaniem, AB.;0;0
37;Skonsultuję Pana propozycję i napiszę czy taka funkcja się pojawi i jeżeli tak, to kiedy. Ale nie będzie to szybko. Z poważaniem, Jan Kowalski.;0;0
38;Michał, spójrz proszę w logach, czy nie ma znowu problemu z tą nieszczęsną redundancją…;0;0
39;Powinno już działać poprawnie. Po imporcie dokumentu excel automatycznie wykrywa kodowanie pliku i sie na nie przełącza. Proszę o sprawdzenie ;1;1
40;Poproszę o dokładny przykład. Kto jest zalogowany, co dokładnie zalogowana osoba wpisuje i w którym miejscu na jakim serwerze lub zrzut ekranu.;0;0
41;"Bardzo dziękuję za informację i próbę pomocy; wczoraj wieczorem wszystko działało sprawnie; a dziś przeniosłam się na stary portal, na całe szczęście istniała alternatywa. Pozdrawiam. Jan Kowalski.";1;1
42;Jan Kowalski podobno został wczoraj wprowadzony do systemu... Reszta też... Chyba chłopaki nie ogarniają tematu. Pzdr, Jaca.;0;0
43;Dzień dobry, po nocnej synchronizacji wszystko wygląda ok. Z poważaniem, AB.;1;1
44;Domena xxx została dodana do konta w panelu (login to xxxxx - dla przypomnienia).Po migracji serwisu proszę o informację, celem przełączenia proxowania na nowy serwer. Z poważaniem, Ania Kowalska.;1;2
45;Dzień dobry, Proszę opisać na czy ma polegać ta funkcjonalność. Przecież listę użytkowników można wrzucić do Excela i taką listę sprawdzić. JK. ;1;1
46;Dzień dobry, Dziękuję Panie Marcinie za pomoc. Udało się naprawić temat przekierowań na poziomie serwera z pomocą pana Piotra. W związku z tym na ten moment zamykam temat. Pozdrawiam serdecznie, Jan Kowalski.;1;2
47;Skorygowałem dane, dodam taką możliwość w zakładce dane użytkownika. Teraz kolej na Maćka. Pozdrowienia, Janek.;0;0
48;Dziękuję za wiadomość. Zaproszenia na szkolenia będą rozesłane pod koniec października / początek listopada. Pozdrawiam;1;1
49;Krzysiek mówi, że Bilbo mówi, że dostał taką informację mailem:Super, dziękuję serdecznie za pomoc. Przekierowania działają już prawidłowo. Pozdrawiam, JK.;0;0
50;Krzysiek wywołano Cię do odpowiedzi. Prośba o wsparcie. Sama nie dam rady. Marta.;0;0
51;Prosimy o reakcję. 12 dni mija i nie ma żadnego odzewu. Pozdrawiam, JK;0;2
52;Panowie, czy jesteście w stanie pomóc w instalacji starego systemu na Linuxie przez WinSCP?I jak z tą wersją wykonywalną? Gdzie jest dostępna najnowsza? Dajcie mi szybką odpowiedź! AB;0;1
53;A zaproponuj jeszcze, żeby Pan w kalendarzu sprawdził. Bo to jest tak jakby nowa wersja tych raportów. Podobnie jak na zrzucie.;0;0
54;Proszę zaproponować jakiś termin. Zdzwonili byśmy sie na teamsach. Chciał bym omówić ten problem z Panią. Z poważaniem, Jan Kowalski.;1;2
55;Już działa, kto i jak powinien zgłaszać - nie wiem. Warto może wypracować jakąś wytyczną w tej sprawie dla zespołów. Ważne aby znalazło się w historii. JK.;0;0
56;OK, mimo wszystko szukam po omacku...Jakiego systemu może dotyczyć sprawa?;0;0
57;Dzień dobry, Każdy pracownik formy ma możliwość zapisania się na szkolenia z systemu XXX. Wkrótce otrzyma Pani szczegółowe informacje. Pozdrawiam AB.;1;2
58;Po uruchomieniu systemu, na stronie startowej, po prawej stronie jest okno: W realizacji, i tam powinna Pani widzieć wszystkie zaczęte zadania. Proszę sprawdzić czy są. Pozdrawiam.;1;2
59;Bardzo dziękuję za informację. Jednocześnie chciałabym zapytać co mogę zrobić, aby te maile nie trafiały do spamu? Z poważaniem, JK.;1;1
60;Szanowna Pani, w związku z powyższą wiadomością informuję, iż e-mail z 30 września br. z danymi do logowania również dotarł. Pozdrawiam, JK.;1;2
61;Wysłałem przypomnienie do P. Aniw celu potwierdzenia, czy zaproponowane rozwiązanie dla Pani wystarczające. W oczekiwaniu na odpowiedź... chyba tu zakwitnę. AB.;0;0
62;Witam, uprawnienie zostało nadane, po ponownym zalogowaniu do Spraw Pracowniczych link do umów będzie widoczny. Pozdrawiam, AB.;1;2
63;Dziękujemy za informację. W związku z rozwiązaniem problemu zamykam ten temat. Z wyrazami szacunku, JK.;1;2
64;Proszę sprawdzić teraz. Jeżeli nadal nie będzie możliwości przesłania danych proszę o kontakt na teamsach. Będę musiał zobaczyć to na konkretnym przykładzie. Pozdrawiam, AB.;1;2
65;Usunąłem, uruchomiłem, zalogowałem z PINU i - to samo... po raz kolejny. JK.;0;0
66;A czy w tym nowym Systemie będą mogła zaciągać dane z pliku? Nie widzę teraz takiej opcji. Albo jak znaleźć w nowym systemie konkretnego użytkownika. Lupka mi nic nie daje. Pozdrawiam, AB.;1;2
67;Faktycznie nie ma osoby z podzespołu. Zajmę się tym. Dzięki za info. Pozdrowienia JK.;0;0
68;Nie. Dyrekcja twierdzi, że to Państwo są w stanie sprawić, że przełożony będzie widział daną osobę tylko z aktualnymi danymi a nie z wszyskimi datami w okresie zatrudnienia (jak to widać na print screenach).;1;1
69;Czy chce mi Pani powiedzieć, że kilku pracowników odmówiło przeniesienia/przepisania szkoleń do aktualnych zatrudnień?;0;0
70;Nie udało mi się powtórzyć błędu, loguje się bez problemu. Proszę o ponowną próbę, jeśli problem nadal występuje proszę o załączenie screenów kolejnych wykonywanych kroków. Czy pojawia się jakiś komunikat błędu?;1;1
71;Proszę o test generowania raportów. Czas oczekiwania na generowanie został wydłużony. Pozdrawiam, JK.;1;2
72;Panie Jacku, spróbujmy zacząć rozpoznawanie tematu od ekipy XXX. Stąd zmiana kategorii zgłoszenia. Ania.;0;1
73;"To jest trochę co innego jednak. Konfiguracja systemu dla ścieżek serwera obejmuje: PHP, du, aspell, dot, GhostScript i Python. Nie ma tam ""ZIP"" ani ""GZIP"". Dyskusja też z 2008 roku, ale dzięki za ciekawy pomysł. JK.";0;2
74;Sprawę przekazano do administratorów, aktualnie nie są wymagane z Pani strony żadne dodatkowe kroki.;0;0
75;Pani Aniu, prosimy o sygnał, gdyby pojawiły się kłopoty w dalszej pracy z wtyczką. Pozdrawiam JK.;0;0
76;Panie Adamie, jakich jeszcze dalszych kroków wymaga uzyskanie przeze mnie dostępu do systemu? Ania.;0;0
77;Mam nadzieję, że ta operacja pomoże, Pani dyrektor jutro o godzinie 16 prowadzi spotkanie i będzie problem gdyby nie miała dostępu do poczty oraz MS Teams.;1;2
78;Dzień dobry. Zgodnie z rozmową telefoniczną, zamykamy temat na ten moment. Sprawa nieaktualna. Z wyrazami szacunku, Ania.;1;1
79;Zgłoszona przez Pana sprawa została przekazana do analizy pod kątem możliwości jej zrealizowania. Pozdrawiam JK.;1;2
80;Dołączyłam Adama skoro Michał go wywołał do współpracy. Pozdrawiam JK.;0;1
81;Obecnie jesteśmy już po przetargu na oprogramowanie i nie ma w planie kolejnego. Zakup możecie Państwo zrealizować w ramach zakupów z budżetu rocznego. Z wyrazami szacunku, Ania.;1;2
82;Dzień dobry, Cenniki obowiązują od 1 października więc sprawa też jest pilna. Byłoby super gdyby udało się je wprowadzić jak najszybciej, najpóźniej do przyszłego tygodnia.Pozdrawiam, Ania.;1;1
83;Adamie, Marcinie - czy macie jakiś inny pomysł jak rozwiązać zgłoszony problem niewystarczającej ilości pamięci dla PHP na serwerze produkcyjnym?;0;1
84;Ma Pani możliwość wyboru wersji php z poziomu panelu administratora. Było o tym na szkoleniu, ale pewnie Pani nie była wystarczająco skupiona. AB.;1;1
85;Dziękuję. Czy mogę mieć jeszcze prośbę o aktualizację oprogramowania serwera, bo obecne php 7.0 jest już przestarzałe? Czy można ustawić wyższą wersję? Idelnie php 7.4, ze względu na stabilność.;1;1
86;Panie Grzegorzu, proszę przesłać prośbę do informatyka z zespołu, który Pana obsługuje informatycznie. Kierownik Zespołu - Jan Kowalski. Pozdrawiam AB.;0;0
87;Pani sugestie przekazałem do listy zmian zasugerowanych przez pracowników. Zostaną one rozpatrzone przy realizowaniu kolejnych zmian w aplikacji. Z wyrazami szacunku, Adam.;1;2
88;Dziękuję za informację. Wczoraj po kilkugodzinnej walce udało mi się podpisać i wygenerować protokoły. Mam nadzieję że już więcej takich problemów nie będzie bo poziom mojej irytacji jest już poza granicami rozsądku.;0;0
89;Dzień dobry, poproszę jednak o przepięcie domeny na nowy serwer już teraz. Pozdrawiam, AB.;1;1
90;Dzień dobry. Sprawdzamy dostępność sali i ekipy obsługi technicznej w tym dniu. Z wyrazami szacunku, Ania.;1;2
91;Stary system nie jest już wspierany - poprawiłem tę funkcję. Ta sama funkcjonalność dostępna jest w nowej wersji i z niej proponuję korzystać.;0;0
92;Otworzyłam na innej  przeglądarce i na razie wszystko widać. Przepraszam za kłopot.;0;0
93;Proszę spróbować ponownie się zalogować. Link do generacji wniosku powinien być widoczny. Z wyrazami szacunku, Adam.;1;2
94;Dzień dobry, czekamy na potwierdzenie stanu prac ze strony zespołu XXX. A może sprawa jest już załatwiona? Adam.;0;0
95;Adamie, sprawdź czy są w widoku do synchronizacji i jaki jest status umów. To bardzo pilne. Ania.;0;0
96;Dzień dobry, limit na wskazany czas został ponownie zwiększony do poprzednio ustawionego poziomu (2000). Z wyrazami szacunku, Adam.;1;1
97;Jeszcze trwa dyskusja. Oczywiście napiszę, gdy zaczniemy głosowanie. Myślę, że jeszcze około 20-30 minut. Uprawnionych do głosowania jest 9 osób. Pozdrawiam, Jan Kowalski.;1;1
98;Super. Oznaczam w takim razie zgłoszenie jako zamknięte. W razie potrzeby pisz i będziemy radzić. Adam;0;0
99;Pan dyrektor nie widnieje w bazie danych jako aktualny kierownik dlatego nie można wyszukać go na liście. Ania.;0;0
100;Chyba Pani coś źle robiła? Skoro Pani utworzyła zespół, to stała się jego właścicielem, więc na pewno powinna mieć do niego dostęp. Widoczność kalendarza zespołu nie przeszkadza w żaden sposób w procesie zakładania terminów. To było na szkoleniu. Z poważaniem, Ania.;0;0
101;Dzien dobry, dziękuję bardzo za informacje. Poprosiłam Pana Zbyszka zeby zlozyl wniosek o hasło. Pozdrawiam serdecznie, Ania.;0;0
102;Marcin, czy możesz wyjaśnić co się stało, że zadziałało? Duchy jakieś znowu czy co? JK.;0;0
103;Dzień dobry, limit dla konta został zwiększony do 500 adresatów na dzień przez zaproponowany czas. Później konto wróci do standardowych ustawień. Z wyrazami szacunku, Adam.;1;1
104;Dzień dobry, wszystkie hasła zostały wysłane na prawidłowy numer. Proszę o sprawdzenie kompletności według listy. Pozdrawiam, Ania. ;1;1
105;Jeśli obie Panie wprowadzono do systemu dzisiaj to ich konta pojawią się jutro po synchronizacji. Pozdrawiam, Adam.;0;1
106;Dzień dobry, Prośba o podanie informacji na której wersji aplikacji Panie pracuje: nowej - interfejs dostępny z przeglądarki czy starej  - aplikacja desktopowa? Z wyrazami szacunku, Michał.;1;2
107;Niestety nie zadziało się tak jak napisałeś. Konto jest nieaktywne. Proszę o PILNĄ reakcję. Pozdrawiam Ania.;0;0
108;Propozycja rozwiązania błędu ze startem oprogramowania XXX została przekazana innym kanałem. Proszę o informacje o tym, czy propozycja dotarła. Z poważaniem, JK.;1;1
109;Krzychu, wal do mnie takie sprawy. Przecież ja tu już nie mam nic do dodania ani ukrycia...;0;0
110;Dzień dobry, w takim razie przekazuję sprawę zespołowi realizującemu te zadania. Poproszę Zespół o udzielenie wparcia. JK.;1;2
111;Nadal nie widzę wytycznych dla pracowników, dlatego przekazuję sprawę Wam. Proszę o pomoc. Ania.;0;1
112;Dzień dobry, czy próbował Pan poprosić o pomoc Radę? Wydaje się, że mogą być w tym pomocni. Chociaż może być różnie. Adam.;0;1
113;Proszę o sprawdzenie dlaczego utworzenie zespołu typu Spotkanie, tworzy zespół prywatny. Prywatne zespoły nie są widoczne w Kalendarzu. Pozdrawiam Adam.;1;2
114;Panie Michale,gdyby była taka potrzeba, można dodać do tego zgłoszenia ww. Informatyka, żeby wspólnie wyjaśniać ewentualne wątpliwości. Pozdrawiam, Adam.;1;2
115;Problem niestety jest serwerowy. I wynika ze sposobu uruchamiania aplikacji. Pracujemy nad rozwiązanim tego problemu. Zespół Informatyków XXX.;0;0
116;Niestety jeśli jutro zostaną wprowadzeni do systemu, to konta pojawią się dopiero pojutrze. Tak to działa. Nic nie poradzimy. Ania.;0;1
117;Dzień dobry, z jakiego modułu jest to wydruk? Proszę o jakiś zrzut ekranu z jego wywołaniem. Niestety, ilość raportów jest przeogromna. Rozumiem, że chodzi o system XXX.  Z wyrazami szacunku, Adam.;1;2
118;Czy podane przez administratora wskazówki okazały się pomocne i rozwiązały Pani problem? Z poważaniem, Jan Kowalski.;1;2
119;Dzień dobry, rzeczywiście jest problem z formularzami. Kolega właśnie rozwiązuje problemy, za chwilę będzie działać. Pozdarawiam, Anna Kowalska.;1;1
120;Dziękuję za informację. Jednak od kwietnia jestem pełnoetatowym pracownikiem. Czy w takim razie moja licencja może zostać zmieniona? To bardzo pilne. Z poważaniem, Jan Kowalski.;1;2
121;Dzień dobry, Problem został już rozwiązany przez Pana wcześniej, w trakcie spotkania na Teams. Legitymacja, która jest w systemie jest już legitymacją nową. Dziękuję za pomoc, zamykamy zgłoszenie.  Zespół Informatyków XXX.;1;1
122;Minęły niemal 2 tygodnie. Czy coś jeszcze z tym robicie? Czy znowu wszystko stoi? Adam.;0;0
123;Licencja jest roczna i aktualnie ważna do 30,12.2021, Trwają prace związane z zakupem nowej licencji na nowy rok. Pozdrawiam Anna Kowalska.;1;2
124;No właśnie już dawno powinno być, bo to było od strzała zawsze generowane, a tutaj minęło kilkadziesiąt minut i nic. Trudno mi powiedzieć z czego może wynikać opóźnienie. Spodziewajmy się raczej, że dopiero jutro coś ruszy w temacie. Michał.;0;0
125;I jeszcze drugie pytanie. Do kiedy możemy liczyć na ten System? Ze względu na prowadzone zajęcia było by słabo gdyby np. z końcem roku licencja wygasła. Pozdrawiam, Adam.;0;1
126;Krzychu, jak myślisz, kiedy to się pojawi? Tak chociaż plus minus, długo już czekają na to. Adam.;0;0
127;Nasi informatycy naprawili już ten problem - po restarcie działa wszystko prawidłowo. Jeszcze raz dziękujemy za zgłoszenie i prosimy o informacje, gdyby błąd ponownie się pojawił. Z wyrazami szacunku, Mateusz.;1;1
128;Generowanie protokołów zostało uruchomione. Jeżeli dalej coś nie będzie działać proszę o informację. Z wyrazami szacunku, Adam Kowalski, administrator systemu XXX.;1;2
129;Karty powinny już zapisywać się poprawnie. Proszę sprawdzić. W razie problemów proszę podać jaką cześć karty Pani edytowała i który nr karty. Pozdrawian, Jan Kowalski.;1;2
130;Dzień dobry, Dziękuję za wyjaśnienie. Nie wiem, co widzą użytkownicy u siebie, ale piszą potem niepoprawnie. Pozdrawiam, Adam.;1;1
131;Krzychu, wierzę Ci, że tak jest. Nie wnikam. Wielu z naszych użytkowników nie jest biegłymi webmasterami i może popełniać nawet proste błędy. Dzięki za czujność. Adam.;0;1
132;Poprawione. Ta sama funkcjonalność dostępna jest po zalogowaniu się do starego systemu. Ania. ;0;2
133;Już się skontaktowałam, wypełniłam formularz. W przeciągu 48 godzin powinnam mieć aktywny. Zobaczymy czy to zadziała, czy będzie jak ostatnio. Dziękuję za pomoc. Z wyrazami szacunku, Anna.;1;2
134;Dane wpisane, należy je potwierdzić, co ma uczynić dyrekcja. Pani już nie musi nic robić. Z poważaniem, Jan Kowalski.;1;2
135;Należy złożyć wniosek z numerem umowy po wymianie o dodatkowe funkcje. Z poważaniem, Jan Kowalski.;1;2
136;Jeśli nie ma Pani służbowego i nie chce chodzić do biura to jest to konieczne. Nie ma innej rady. Pozdrawiam, Ania.;1;1
137;Przy okazji chciałbym się zapytać jak wygląda procedura zaproszenia na takie spotkanie w Teams osoby Prezesa frmy (uroczyście otwiera serie spotkań jako pierwszy spiker)? Adam.;0;1
138;Pani Aniu, potrzebuję w zasadzie czegoś w rodzaju wprowadzenia, takiego szkolenia w pigułce. Porozmawiajmy o 11,00 na Teams, tak będzie łatwiej. Dziękuję!;1;1
139;Hasło do certyfikatu to nie to samo co hasło do poczty, jeśli nie pamięta Pan hasła do certyfikatu to najprościej wygenerować nowy certyfikat na stronie XXXX.XXX.XX i podmienić go.;1;2
140;Dzień Dobry, Czy coś jeszcze mogę zrobić w związku ze zgłoszonym problemem, bo powinnam już oddać ten protokół a ja go ciągle nie widzę w systemie. Pozdrawiam.;0;0
141;Proszę Państwa, nie mogę już dłużej czekać na odpowiedź. Sprawa zostanie zgłoszona dyrekcji. Z poważaniem, Jan Kowalski.;1;2
142;Dzień dobry, według wiedzy, którą obecnie posiadamy nie będzie konieczności generowania nowego podpisu w systemie. Pozdrawiam Jan Kowalski.;1;1
143;W załączeniu przesyłam listę pracowników z Działu którym kieruję, zainteresowanych dostępem do oprogramowania. Jan Kowalski.;1;2
144;Na chwilę obecną wszystko działa. Dziękuję bardzo za pomoc. Pozdrawiam, Anna Kowalska.;0;2
145;Grzesiu, czy to oznacza że wskazane osoby mogą już korzystać zasobów udziału? Pozdrawiam, Anna.;0;0
146;Lokalny ruterek wifi stracił ustawienia i wyresetował się do fabrycznych. Poprawione i chyba na tą chwilę wszystko działa. Jeżeli problem będzie powracał prawdopodobnie trzeba będzie pomyśleć o wymianie tego urządzenia. Michał.;0;0
147;Po zmianie nazwiska tworzymy konto z nowym nazwiskiem i aliasem do starego, pracownik powinien zgłosić taką potrzebę przez odpowiednie kanały. Z poważaniem, Jan Kowalski.;1;2
148;Z tego co widzę ktoś wpisał ważność konta do 2091r. Niestety zakładamy konta na dwa lata po których można je przedłużyć. Nic nie trwa wiecznie. Adam;0;0
149;Próbuję się w tym zorientować. Mam konto w aplikacji XXXX. Ściągam oprogramowanie. A jak zdobyć plik licencyjny na serwer licencji na komputery stacjonarne? Pozdrawiam, Jan Kowalski.;0;0
150;Udzieliłam odpowiedzi, że trwają prace analizujące problem. Jednak proszę nie zostawiać tematu w próżni. Czekamy na odpowiedź od zespołu programistów. Pozdrawiam, Ania.;1;2
151;"Na początek proszę ustalić, który to budynek i co oznacza stwierdzenie ""jednej z sieci"" Podane informacje są bardzo nieprecyzyjne! Z poważaniem, Jan Kowalski";0;0
152;Panowie ,ciekawy temat do opracowania. Co byśmy mogli zaproponować, żeby najlepiej pasowało do wymagań? Adam.;1;2
153;Krystian mógłbyś zobaczyć dlaczego ta statystyka działa u Ciebie, a u nas (u mnie i i u Pani Ani) nie? Janek.;0;2
154;Dzień dobry. Czy Pani drukowała protokoły ze strony xxx.xxx.xx, czy za pomocą programu pobranego na komputer? Z poważaniem, Jan Kowalski;1;2
155;Pani Aniu,widzę, ze zespół programistów aktywnie pracuje nad sprawą. Liczę, że wkrótce podzielą się z nami efektami prac (albo przynajmniej informacjami o ich przebiegu). Janek.;0;0
156;Dzień dobry, w imieniu Pani dyr. Magdaleny Nowak proszę o potraktowanie zgłoszenia jako sprawę bardzo pilną. Pozdrawiam, Anna Kowalska.;1;2
157;Uprawnienia zostały nadane. Po ponownym zalogowaniu do Systeu w menu widoczny będzie link do aplikacji umów. Pozdrawiam, Marcin Nowak.;1;1
158;Dziękuję. Na dzień dzisiejszy wystarczy. Kolejny kurs będziemy tworzyć już z nową ideą na horyzoncie. Tu pójdziemy na łatwiznę. Pozdrawiam, Asia.;0;0
159;Pani Aleksandra Nowak ma skrzynkę pracowniczą ważną do 30,09.2021, po zarejestrowaniu nowej umowy w kadrach skrzynka zostanie automatycznie przedłużona.;1;2
160;Szanowni Państwo, potwierdzam konieczność podpięcia strony pod ustalony adres. Pozdrawiam serdecznie, Katarzyna Nowak.;1;2
161;Z powodów technicznych na razie generacja jest zablokowana. Damy znać kiedy odblokujemy. Pozdrawiam, Ania.;0;1
162;Panowie, puste pliki, czy też błąd generowania protokołu, co to jest? Proszę o szybką odpowiedź. Magda.;0;0
163;Dzień dobry, proszę o sprawdzenie czy po zalogowaniu kontem funkcyjnym dyrektora ma Pan dostęp do zasobu. Proszę o informację po sprawdzeniu. Pozdrawiam, Michał.;1;1
164;"Do tej pory korzystałam i wpisywałam dane jeszcze w starym systemie. Ale gdy weszłam już na nowy i spróbowałam wygenerować prorokoły wyskoczył mi taki komunikat ""wystąpił błąd"" i puste pola jak na zdjęciu. Z wyrazami szacunku, Agnieszka Nowak.";1;1
165;Teoretycznie mogę pobrać protokoły, ale potem nie mogę ich otworzyć, tak jakby były puste, albo coś było z nimi nie tak. Adam.;0;1
166;Zbyszku, pola liczbowe są polami edytowalnymi. Nie trzeba klikać w strzałki, żeby zwiększyć wartość w polu. Chyba, że źle zrozumiałam istotę problemu. Pozdrawiam, Agnieszka.;0;0
167;Dzień dobry Pani Aniu, czy byłaby możliwość zmiany terminu szkolenia dla dwóch osób: p. Ewy Nowaki p. Magdaleny Kowalskiej na 19.11? Pozdrawiam Michalina.;1;1
168;Rozmawiałem z Panią Dyrektor przez Teams. Wszystko jest już wyjaśnione, więc temat zamknięty. Mateusz.;0;1
169;Mail z prośbą o podanie numeru tel. komórkowego wysłany na xxx@xxxx.xx. Proszę o sprawdzenie czy dotarł. Z poważaniem, Jan Kowalski.;1;2
170;Programiści, chyba w takim przypadku zamiast 0 powinno się wyświetlić odpowiednia informacja, np. brak danych. Pozostawiam to do rozważenia, pytanie tylko co odpisać użytkownikowi? Michał.;0;0
171;Dzień dobry, zrobiłem wg Pana wskazówek, jednak nie udało się wygenerować żadnego protokołu. Kiedy to zostanie naprawione?! Pozdrawiam AB.;1;1
172;Wyrażam zgodę na założenie konta. Uprawnienia na rok, bądź do ustania zatrudnienia, w zależności od tego co następuje pierwsze. Z wyrazami szacunku, Michał.;1;2
173;Jakieś propozycje? Może Adam się wypowie, czy ścieżka z dostępem do serwera licencji jest możliwa? Grzegorz.;0;1
174;Akceptuję. Można nadać uprawnienia. Termin obowiązywania uprawnień nie ulega zmianie. Z wyrazami szacunku, dyr. Michał Nowak.;1;2
175;Jestem Panu ogromnie wdzięczna za tak szczegółowe wyjaśnienia. Teraz już wiem jak się przedstawia cała sytuacja i co mam dalej zrobić aby wszystko uporządkować. Jeszcze raz bardzo serdecznie dziękuję.;1;1
